customer_id,customer_name,channel,region,city,segment
C123,Nairobi CBD Supermarket Account 123,Supermarket,Nairobi,Nairobi CBD,Standard
C124,Nairobi CBD Wholesale Account 124,Wholesale,Nairobi,Nairobi CBD,Key Account
C125,Kiambu Wholesale Account 125,Wholesale,Central,Kiambu,Key Account
C126,Naivasha Retail Account 126,Retail,Rift Valley,Naivasha,Standard
C127,Nakuru Supermarket Account 127,Supermarket,Rift Valley,Nakuru,Key Account
C128,Nairobi CBD E-Commerce Account 128,E-Commerce,Nairobi,Nairobi CBD,Standard
C129,Kilifi Retail Account 129,Retail,Coast,Kilifi,Standard
C130,Nakuru Wholesale Account 130,Wholesale,Rift Valley,Nakuru,Standard
C131,Embakasi HoReCa Account 131,HoReCa,Nairobi,Embakasi,Standard
C132,Nakuru Supermarket Account 132,Supermarket,Rift Valley,Nakuru,Standard
C133,Kasarani Supermarket Account 133,Supermarket,Nairobi,Kasarani,Key Account
C134,Nakuru HoReCa Account 134,HoReCa,Rift Valley,Nakuru,Standard
C135,Kakamega Wholesale Account 135,Wholesale,Western,Kakamega,Key Account
C136,Kisii Supermarket Account 136,Supermarket,Nyanza,Kisii,Key Account
C137,Naivasha Wholesale Account 137,Wholesale,Rift Valley,Naivasha,Standard
C138,Bungoma Wholesale Account 138,Wholesale,Western,Bungoma,Standard
C139,Westlands HoReCa Account 139,HoReCa,Nairobi,Westlands,Standard
C140,Kasarani Retail Account 140,Retail,Nairobi,Kasarani,Standard
C141,Murang'a Retail Account 141,Retail,Central,Murang'a,Standard
C142,Kilifi Retail Account 142,Retail,Coast,Kilifi,Standard
C143,Embakasi Retail Account 143,Retail,Nairobi,Embakasi,Standard
C144,Homa Bay HoReCa Account 144,HoReCa,Nyanza,Homa Bay,Standard
C145,Malindi E-Commerce Account 145,E-Commerce,Coast,Malindi,Standard
C146,Kasarani Wholesale Account 146,Wholesale,Nairobi,Kasarani,Standard
C147,Kericho Wholesale Account 147,Wholesale,Rift Valley,Kericho,Key Account
C148,Kasarani Supermarket Account 148,Supermarket,Nairobi,Kasarani,Key Account
C149,Kilifi Wholesale Account 149,Wholesale,Coast,Kilifi,Key Account
C150,Embu Retail Account 150,Retail,Eastern,Embu,Standard
C151,Nyeri Retail Account 151,Retail,Central,Nyeri,Standard
C152,Westlands Retail Account 152,Retail,Nairobi,Westlands,Standard
C153,Eldoret Retail Account 153,Retail,Rift Valley,Eldoret,Standard
C154,Naivasha Supermarket Account 154,Supermarket,Rift Valley,Naivasha,Standard
C155,Kilifi E-Commerce Account 155,E-Commerce,Coast,Kilifi,Standard
C156,Bungoma Retail Account 156,Retail,Western,Bungoma,Standard
C157,Nairobi CBD Supermarket Account 157,Supermarket,Nairobi,Nairobi CBD,Key Account
C158,Nairobi CBD Wholesale Account 158,Wholesale,Nairobi,Nairobi CBD,Standard
C159,Kasarani Retail Account 159,Retail,Nairobi,Kasarani,Standard
C160,Embakasi Wholesale Account 160,Wholesale,Nairobi,Embakasi,Key Account
C161,Nairobi CBD Retail Account 161,Retail,Nairobi,Nairobi CBD,Standard
C162,Kisumu HoReCa Account 162,HoReCa,Nyanza,Kisumu,Standard
C163,Kiambu Wholesale Account 163,Wholesale,Central,Kiambu,Standard
C164,Embakasi Retail Account 164,Retail,Nairobi,Embakasi,Standard
C165,Kasarani Wholesale Account 165,Wholesale,Nairobi,Kasarani,Standard
C166,Kasarani Wholesale Account 166,Wholesale,Nairobi,Kasarani,Key Account
C167,Kisii Retail Account 167,Retail,Nyanza,Kisii,Standard
C168,Nakuru E-Commerce Account 168,E-Commerce,Rift Valley,Nakuru,Standard
C169,Westlands Retail Account 169,Retail,Nairobi,Westlands,Standard
C170,Westlands Retail Account 170,Retail,Nairobi,Westlands,Standard
C171,Nairobi CBD Retail Account 171,Retail,Nairobi,Nairobi CBD,Standard
C172,Kericho Retail Account 172,Retail,Rift Valley,Kericho,Standard
C173,Embakasi Supermarket Account 173,Supermarket,Nairobi,Embakasi,Standard
C174,Naivasha Supermarket Account 174,Supermarket,Rift Valley,Naivasha,Standard
C175,Eldoret Wholesale Account 175,Wholesale,Rift Valley,Eldoret,Standard
C176,Naivasha HoReCa Account 176,HoReCa,Rift Valley,Naivasha,Standard
C177,Westlands Supermarket Account 177,Supermarket,Nairobi,Westlands,Standard
C178,Bungoma Wholesale Account 178,Wholesale,Western,Bungoma,Standard
C179,Kasarani E-Commerce Account 179,E-Commerce,Nairobi,Kasarani,Standard
C180,Kilifi Wholesale Account 180,Wholesale,Coast,Kilifi,Standard
